MN,HD,HR,HIP,Gl,Name,OtherDesignations,ProperName,Bayer,Flamsteed,Constellation,RAJ2000,DecJ2000,GalLonJ2000,GalLatJ2000,pmRA,pmDec,RadVel,Distance,Vmag,Vmag_min,Vmag_max,B-V,SpType,Luminosity,XJ2000,YJ2000,ZJ2000,VXJ2000,VYJ2000,VZJ2000,Primary,MultipleID,IsMultiple,IsVariable
74,3712,168,3179,,Schedar,18 Cas/18Alp Cas/HD 3712/HIP 3179/HR 168/HYG 3172/MN 74/Schedar/α Cas,Schedar,α Cas,18 Cas,Cas,0.675116,56.537331,121.41634760252504,-6.302246448086187,50.36,-32.17,-4.0,69.979,2.24,2.25,2.23,1.17,K0II-IIIvar,542.0008904016238,37.984817,6.784483,58.379619,3.74e-06,1.802e-05,-9.43e-06,3172,,0,1
75,164058,6705,87833,,Eltanin,33 Dra/33Gam Dra/Eltanin/HD 164058/HIP 87833/HR 6705/HYG 87560/MN 75/γ Dra,Eltanin,γ Dra,33 Dra,Dra,17.943437,51.488895,79.0549643521245,29.217327482984693,-8.52,-23.05,-28.0,47.3037,2.24,,,1.521,K5III,247.5141318074314,-0.436154,-29.451035,37.014357,-1.75e-06,1.372e-05,-2.57e-05,87561,,0,0
76,36486,1852,25930,,Mintaka,34 Ori/34Del Ori/HD 36486/HIP 25930/HR 1852/HYG 25865/MN 76/Mintaka/δ Ori,Mintaka,δ Ori,34 Ori,Ori,5.533445,-0.299092,203.85592328494107,-17.73972553336582,1.67,0.56,16.0,212.3142,2.25,2.334,2.234,-0.175,O9.5II,4943.106869868354,25.868117,210.729667,-1.108306,2.9e-07,1.645e-05,4.9e-07,25865,,0,1
77,432,21,746,Gl 8,Caph,11 Cas/11Bet Cas/Caph/Gl 8/HD 432/HIP 746/HR 21/HYG 744/MN 77/β Cas,Caph,β Cas,11 Cas,Cas,0.152887,59.14978,117.52745934825994,-3.2777539441578005,523.39,-180.42,11.3,16.7842,2.28,2.303,2.263,0.38,F2III-IV,30.06076302628229,8.600014,0.344589,14.409503,1.681e-05,4.329e-05,2.39e-06,744,,0,1
78,118716,5132,66657,,ε Cen,Eps Cen/HD 118716/HIP 66657/HR 5132/HYG 66446/MN 78/ε Cen,,ε Cen,,Cen,13.664796,-53.466394,310.19194143262797,8.721018491728401,-14.6,-12.79,3.0,131.0616,2.29,2.301,2.281,-0.171,B1III,1814.67977939693,-70.726493,-32.9381,-105.309044,3.5e-07,1.039e-05,-7.3e-06,66447,,0,1
79,143275,5953,78401,,Dschubba,7 Sco/7Del Sco/Dschubba/HD 143275/HIP 78401/HR 5953/HYG 78164/MN 79/δ Sco,Dschubba,δ Sco,7 Sco,Sco,16.005557,-22.62171,350.0969252921846,22.490423166144783,-8.67,-36.9,-7.0,150.6024,2.29,2.299,2.279,-0.117,B0.2IV,2396.624529408638,-69.332609,-120.492107,-57.928452,2.98e-06,1.787e-05,-2.211e-05,78165,,0,1
80,151680,6241,82396,,Larawag,26 Sco/26Eps Sco/HD 151680/HIP 82396/HR 6241/HYG 82143/Larawag/MN 80/ε Sco,Larawag,ε Sco,26 Sco,Sco,16.83608,-34.293232,348.811251655788,6.560698489044199,-611.83,-255.87,-3.0,19.5351,2.29,,,1.144,K2IIIb,40.3273792976113,-4.842163,-15.39568,-11.006616,-5.042e-05,3.282e-05,-1.829e-05,82144,,0,0
81,129056,5469,71860,,α Lup,Alp Lup/HD 129056/HIP 71860/HR 5469/HYG 71633/MN 81/α Lup,,α Lup,,Lup,14.698823,-47.3882,321.61072320382914,11.43654663281323,-21.15,-24.22,5.0,142.4501,2.3,2.311,2.281,-0.154,B1.5III,2124.222477388697,-73.354913,-62.611867,-104.837277,-2.75e-06,1.685e-05,-1.509e-05,71634,,0,1
82,127972,5440,71352,,η Cen,Eta Cen/HD 127972/HIP 71352/HR 5440/HYG 71124/MN 82/η Cen,,η Cen,,Cen,14.591786,-42.157824,322.7740207195723,16.669129166797205,-35.31,-32.44,0.0,93.7207,2.33,2.378,2.308,-0.157,B1Vn + A,894.5404837788689,-54.086167,-43.605833,-62.903,-2.37e-06,1.87e-05,-1.093e-05,71125,,0,1
83,95418,4295,53910,GJ 9343,Merak,48 UMa/48Bet UMa/GJ 9343/HD 95418/HIP 53910/HR 4295/HYG 53754/MN 83/Merak/β UMa,Merak,β UMa,48 UMa,UMa,11.030677,56.382427,149.16621724662994,54.80401847601786,81.66,33.74,-12.0,24.4499,2.34,,,0.033,A1V,60.311481961781745,-13.103033,3.398358,20.360601,7.37e-06,-1.191e-05,-8.01e-06,53754,,0,0
84,129988,5505,72105,,Izar,36 Boo/36Eps Boo/HD 129988/HIP 72105/HR 5505/HYG 71878/Izar/MN 84/ε Boo,Izar,ε Boo,36 Boo,Boo,14.749784,27.074222,39.38466897232295,64.78416941767304,-50.65,20.0,-23.0,62.1118,2.35,,,0.966,A0,385.8335599053513,-41.582771,-36.462926,28.269741,7.75e-06,2.708e-05,-5.34e-06,71879,,0,0
85,206778,8308,107315,,Enif,8 Peg/8Eps Peg/Enif/HD 206778/HIP 107315/HR 8308/HYG 106971/MN 85/ε Peg,Enif,ε Peg,8 Peg,Peg,21.736433,9.875011,65.57099445730081,-31.45754242940435,30.02,1.38,5.0,211.4165,2.38,2.404,2.364,1.52,K2Ibvar,4349.106072324538,172.769915,-116.330918,36.25782,2.116e-05,2.284e-05,2.27e-06,106972,,0,1
