MN,HD,HR,HIP,Gl,Name,OtherDesignations,ProperName,Bayer,Flamsteed,Constellation,RAJ2000,DecJ2000,GalLonJ2000,GalLatJ2000,pmRA,pmDec,RadVel,Distance,Vmag,Vmag_min,Vmag_max,B-V,SpType,Luminosity,XJ2000,YJ2000,ZJ2000,VXJ2000,VYJ2000,VZJ2000,Primary,MultipleID,IsMultiple,IsVariable
113,132058,5571,73273,,β Lup,Bet Lup/HD 132058/HIP 73273/HR 5571/HYG 73045/MN 113/β Lup,,β Lup,,Lup,14.975537,-43.13396,326.2522565604344,13.909140900035371,-34.06,-38.3,-0.8,117.3709,2.68,,,-0.184,B2III,1016.716800466376,-60.951955,-60.176134,-80.247234,-2.59e-06,2.468e-05,-1.534e-05,73046,,0,0
114,31398,1577,23015,,Hassaleh,3 Aur/3Iot Aur/HD 31398/HIP 23015/HR 1577/HYG 22961/Hassaleh/MN 114/ι Aur,Hassaleh,ι Aur,3 Aur,Aur,4.949894,33.16609,170.5900347385737,-6.159521452570948,3.63,-18.54,18.0,151.2859,2.69,,,1.49,K3IIvar,1673.4009068393125,34.378539,121.884168,82.763748,3.64e-06,2.271e-05,-1.31e-06,22961,,0,0
115,93497,4216,52727,,μ Vel,HD 93497/HIP 52727/HR 4216/HYG 52575/MN 115/Mu Vel/μ Vel,,μ Vel,,Vel,10.779488,-49.420255,283.02677476379813,8.572347617246091,62.55,-53.57,6.0,35.9195,2.69,,,0.901,G5III SB,94.36262202767266,-22.183186,7.339648,-27.280949,-4.8e-07,-1.131e-05,-1.073e-05,52575,,0,0
116,109668,4798,61585,,α Mus,Alp Mus/HD 109668/HIP 61585/HR 4798/HYG 61391/MN 116/α Mus,,α Mus,,Mus,12.619739,-69.135564,301.6558028213232,-6.299140991947539,-39.87,-12.44,13.0,96.7118,2.69,2.7,2.69,-0.176,B2IV-V,683.5967668381046,-33.992375,-5.563974,-90.370102,-2.31e-06,1.856e-05,-1.45e-05,61392,,0,1
117,158408,6508,85696,,Lesath,34 Sco/34Ups Sco/HD 158408/HIP 85696/HR 6508/HYG 85435/Lesath/MN 117/υ Sco,Lesath,υ Sco,34 Sco,Sco,17.512732,-37.295811,351.27395330970273,-1.844564321775494,-4.19,-29.14,8.0,176.6784,2.7,,,-0.179,B2IV,2261.517746108362,-17.880984,-139.40881,-107.054828,-2.46e-06,9e-06,-2.481e-05,85436,,0,0
118,56855,2773,35264,,π Pup,HD 56855/HIP 35264/HR 2773/HYG 35169/MN 118/Pi Pup/π Pup,,π Pup,,Pup,7.285711,-37.09747,249.01066096359537,-11.279006953809564,-10.57,7.0,16.0,247.5248,2.71,2.741,2.681,1.616,K3Ib,4397.440784473689,-65.206299,186.349551,-149.300305,5.99e-06,2.129e-05,-3.17e-06,35169,,0,1
119,168454,6859,89931,,Kaus Media,19 Sgr/19Del Sgr/HD 168454/HIP 89931/HR 6859/HYG 89652/Kaus Media/MN 119/δ Sgr,Kaus Media,δ Sgr,19 Sgr,Sgr,18.3499,-29.828103,3.00089274537582,-7.154566359872547,29.96,-26.38,-20.0,106.6098,2.72,,,1.38,K3III,808.3510373900685,8.460232,-92.098382,-53.027575,1.318e-05,2.584e-05,-1.65e-06,89653,,0,0
120,186791,7525,97278,,Tarazed,50 Aql/50Gam Aql/HD 186791/HIP 97278/HR 7525/HYG 96969/MN 120/Tarazed/γ Aql,Tarazed,γ Aql,50 Aql,Aql,19.770994,10.613261,48.726026695003185,-7.081162015182227,15.72,-3.08,-2.0,121.0654,2.72,,,1.507,K3II,1042.3174293933046,53.215608,-106.431852,22.297682,7.5e-06,5.63e-06,-2.15e-06,96970,,0,0
121,146051,6056,79593,,Yed Prior,1 Oph/1Del Oph/HD 146051/HIP 79593/HR 6056/HYG 79351/MN 121/Yed Prior/δ Oph,Yed Prior,δ Oph,1 Oph,Oph,16.239094,-3.694323,8.842944900571162,32.196618228237305,-45.83,-142.91,-20.0,52.4659,2.73,,,1.584,M1III,193.9099078614849,-23.290749,-46.890988,-3.380547,-3.2e-07,2.556e-05,-3.495e-05,79352,,0,0
122,148387,6132,80331,Gl 624.1A,Athebyne,14 Dra/14Eta Dra/Athebyne/Gl 624.1A/HD 148387/HIP 80331/HR 6132/HYG 80088/MN 122/η Dra,Athebyne,η Dra,14 Dra,Dra,16.39986,61.514213,92.58449828997634,40.95104678827206,-16.98,56.68,-13.7,28.2326,2.73,,,0.91,G8III,56.182362813422785,-5.477258,-12.300885,24.814526,3.37e-06,1.328e-05,-8.62e-06,80089,Gl 624.1,1,0
123,93030,4199,52419,,θ Car,HD 93030/HIP 52419/HR 4199/HYG 52268/MN 123/The Car/θ Car,,θ Car,,Car,10.715949,-64.39445,289.59782044047415,-4.901706784006402,-18.87,12.06,24.0,139.6648,2.74,,,-0.22,B0Vp,1361.4446824659497,-56.980945,19.910719,-125.948607,-1.275e-05,1.799e-05,-1.861e-05,52268,,0,0
124,110379,4825,61941,Gl 482A,Porrima,29 Vir/29Gam Vir/Gl 482A/HD 110379/HIP 61941/HR 4825/HYG 61747/MN 124/Porrima/γ Vir,Porrima,γ Vir,29 Vir,Vir,12.694345,-1.449375,297.8342974986446,61.32556284421969,-616.66,60.66,-19.9,11.685,2.74,,,0.368,F0V+...,9.532350439205146,-11.488622,-2.111702,-0.295552,1.361e-05,3.802e-05,3.95e-06,61748,Gl 482,1,0
125,37043,1899,26241,,Hatysa,44 Ori/44Iot Ori/HD 37043/HIP 26241/HR 1899/HYG 26176/Hatysa/MN 125/ι Ori,Hatysa,ι Ori,44 Ori,Ori,5.590551,-5.909901,209.52211703019972,-19.58345870245253,2.27,-0.62,22.0,714.2857,2.75,,,-0.21,O9III,35285.8025828527,76.014147,706.411475,-73.54604,-5.44e-06,2.287e-05,-4.45e-06,26176,,0,0
126,115892,5028,65109,Gl 508.1,ι Cen,Gl 508.1/HD 115892/HIP 65109/HR 5028/HYG 64903/Iot Cen/MN 126/ι Cen,,ι Cen,,Cen,13.343296,-36.712295,309.41884407534945,25.79189094221589,-340.76,-87.98,0.1,18.0213,2.75,,,0.068,A2V,22.46984103640156,-13.562569,-4.976416,-10.773082,-6.02e-06,2.95e-05,-6.22e-06,64904,,0,0
127,130841,5531,72622,Gl 564.1,Zubenelgenubi,9 Lib/9Alp2Lib/Gl 564.1/HD 130841/HIP 72622/HR 5531/HYG 72395/MN 127/Zubenelgenubi/α2 Lib,Zubenelgenubi,α2 Lib,9 Lib,Lib,14.847977,-16.041778,340.32579026349936,38.008272557577484,-105.69,-69.0,-46.7,23.2396,2.75,,,0.147,A3IV,37.35940922587999,-16.408581,-15.151818,-6.421874,2.722e-05,4.135e-05,5.73e-06,72396,,0,0
128,161096,6603,86742,,Cebalrai,60 Oph/60Bet Oph/Cebalrai/HD 161096/HIP 86742/HR 6603/HYG 86474/MN 128/β Oph,Cebalrai,β Oph,60 Oph,Oph,17.724543,4.567303,29.21337680654337,17.191283800169373,-40.67,158.8,-12.0,25.0941,2.76,,,1.168,K2III,43.171784447092264,-1.802333,-24.949291,1.998237,-3.94e-06,1.409e-05,1.828e-05,86475,,0,0
129,33111,1666,23875,GJ 9175,Cursa,67 Eri/67Bet Eri/Cursa/GJ 9175/HD 33111/HIP 23875/HR 1666/HYG 23820/MN 129/β Eri,Cursa,β Eri,67 Eri,Eri,5.130829,-5.086446,205.33776857818165,-25.315553840960582,-83.39,-75.44,-9.2,27.3973,2.78,,,0.161,A3IIIvar,50.53589947531675,6.156194,26.585876,-2.429001,8.48e-06,-1.249e-05,-9.15e-06,23820,,0,0
130,148856,6148,80816,,Kornephoros,27 Her/27Bet Her/HD 148856/HIP 80816/HR 6148/HYG 80570/Kornephoros/MN 130/β Her,Kornephoros,β Her,27 Her,Her,16.503668,21.489613,39.00772889061358,40.21289349246423,-98.43,-14.49,-26.0,42.6621,2.78,,,0.947,G8III,122.4616199265049,-15.155861,-36.689058,15.62843,-9.79e-06,2.963e-05,-1.253e-05,80571,,0,0
131,156014,6406,84345,,Rasalgethi,64 Her/64Alp1Her/HD 156014/HIP 84345/HR 6406/HYG 84085/MN 131/Rasalgethi/α1 Her,Rasalgethi,α1 Her,64 Her,Her,17.244127,14.390333,35.53377291494863,27.818416676236033,-6.71,32.78,-33.0,110.2536,2.78,2.967,2.567,1.164,M5IIvar,818.0879579457477,-20.995512,-104.709944,27.400863,3.77e-06,3.703e-05,8.58e-06,84086,,0,1
132,106490,4656,59747,,Imai,Del Cru/HD 106490/HIP 59747/HR 4656/HYG 59564/Imai/MN 132/δ Cru,Imai,δ Cru,,Cru,12.252427,-58.748928,298.22900194857567,3.79103156145534,-36.68,-10.72,22.0,105.8201,2.79,2.794,2.784,-0.193,B2IV,746.7925899308835,-54.778605,-3.62525,-90.466,-8.2e-06,1.831e-05,-2.209e-05,59565,,0,1
133,159181,6536,85670,,Rastaban,23 Dra/23Bet Dra/HD 159181/HIP 85670/HR 6536/HYG 85409/MN 133/Rastaban/β Dra,Rastaban,β Dra,23 Dra,Dra,17.507213,52.301387,79.57896345683004,33.310242817200944,-15.59,11.57,-20.0,116.5501,2.79,,,0.954,G2II,906.149802231998,-9.169333,-70.678899,92.218765,-6.46e-06,1.867e-05,-1.219e-05,85410,,0,0
134,138690,5776,76297,,γ Lup,Gam Lup/HD 138690/HIP 76297/HR 5776/HYG 76064/MN 134/γ Lup,,γ Lup,,Lup,15.585681,-41.166757,333.1940912218597,11.891394712750635,-16.05,-25.52,2.0,129.0323,2.8,,,-0.216,B2IV,1099.5120668793495,-57.388809,-78.369378,-84.935884,-2.8e-06,1.317e-05,-1.336e-05,76065,,0,0
135,36079,1829,25606,,Nihal,9 Lep/9Bet Lep/HD 36079/HIP 25606/HR 1829/HYG 25542/MN 135/Nihal/β Lep,Nihal,β Lep,9 Lep,Lep,5.470756,-20.759441,223.56122369576144,-27.201327177409215,-5.03,-85.92,-14.0,49.1642,2.81,,,0.807,G5II,158.1976398601154,6.349344,45.531613,-17.425966,-1.66e-06,-2.061e-05,-1.407e-05,25542,,0,0
136,150680,6212,81693,Gl 635A,ζ Her,40 Her/40Zet Her/Gl 635A/HD 150680/HIP 81693/HR 6212/HYG 81443/MN 136/ζ Her,,ζ Her,40 Her,Her,16.688113,31.602726,52.660732165853226,40.28909723866117,-462.58,345.05,-70.4,10.7158,2.81,,,0.65,F9IV,7.516228940182053,-3.073152,-8.593139,5.615032,1.18e-06,7.468e-05,-2.246e-05,81444,Gl 635,1,0
137,2151,98,2021,Gl 19,β Hyi,Bet Hyi/Gl 19/HD 2151/HIP 2021/HR 98/HYG 2016/MN 137/β Hyi,,β Hyi,,Hyi,0.427916,-77.254247,304.77741928933517,-39.78154529576831,2220.12,324.37,22.9,7.4588,2.82,,,0.618,G2IV,3.607447338641915,1.635267,0.184517,-7.275205,7.54e-06,8.163e-05,-2.026e-05,2016,,0,0
138,149438,6165,81266,,Paikauhale,23 Sco/23Tau Sco/HD 149438/HIP 81266/HR 6165/HYG 81019/MN 138/Paikauhale/τ Sco,Paikauhale,τ Sco,23 Sco,Sco,16.598043,-28.216016,351.53477379709824,12.808128780557425,-8.59,-22.5,2.0,145.3488,2.82,,,-0.206,B0V,1370.2505971242451,-45.960032,-119.546841,-68.7205,-3.61e-06,7.49e-06,-1.494e-05,81020,,0,0
139,169916,6913,90496,Gl 713.1,Kaus Borealis,22 Sgr/22Lam Sgr/Gl 713.1/HD 169916/HIP 90496/HR 6913/HYG 90216/Kaus Borealis/MN 139/λ Sgr,Kaus Borealis,λ Sgr,22 Sgr,Sgr,18.466179,-25.4217,7.66029892598632,-6.521780637996444,-44.81,-186.29,-43.2,23.9693,2.82,,,1.025,K1IIIb,37.25632384666037,2.635486,-21.487046,-10.289309,-1.116e-05,4.82e-05,-5.8e-07,90217,,0,0
140,886,39,1067,,Algenib,88 Peg/88Gam Peg/Algenib/HD 886/HIP 1067/HR 39/HYG 1065/MN 140/γ Peg,Algenib,γ Peg,88 Peg,Peg,0.220598,15.183596,109.43381822440416,-46.68448644189724,4.7,-8.24,4.0,120.048,2.83,2.846,2.816,-0.19,B2IV,926.4031007363994,115.664183,6.687324,31.442127,5.04e-06,3.03e-06,-3.56e-06,1065,,0,1
141,67523,3185,39757,,Tureis,15 Pup/15Rho Pup/HD 67523/HIP 39757/HR 3185/HYG 39644/MN 141/Tureis/ρ Pup,Tureis,ρ Pup,15 Pup,Pup,8.125737,-24.304324,243.14834093401436,4.401905074663118,-83.29,46.38,46.0,19.4818,2.83,2.875,2.775,0.458,F2mF5IIp,24.389337302789126,-9.379037,15.076242,-8.018549,-1.692e-05,4.209e-05,-1.537e-05,39644,,0,1
142,141891,5897,77952,Gl 601A,β TrA,Bet TrA/Gl 601A/HD 141891/HIP 77952/HR 5897/HYG 77715/MN 142/β TrA,,β TrA,,TrA,15.919083,-63.430727,321.845358975147,-7.52382734875256,-188.45,-401.92,0.4,12.3778,2.83,,,0.315,F2III,9.84464363980378,-2.869157,-4.734869,-11.070637,1.41e-06,2.415e-05,-1.115e-05,77716,Gl 601,1,0
143,24398,1203,18246,,ζ Per,44 Per/44Zet Per/HD 24398/HIP 18246/HR 1203/HYG 18201/MN 143/ζ Per,,ζ Per,44 Per,Per,3.9022,31.883635,162.28913082792067,-16.690388347829185,4.41,-9.15,20.0,230.4147,2.84,,,0.271,B1Ib,3382.205566696543,102.130978,166.878316,121.704179,7.68e-06,2.199e-05,2.13e-06,18201,,0,0
144,157244,6461,85258,,β Ara,Bet Ara/HD 157244/HIP 85258/HR 6461/HYG 84998/MN 144/β Ara,,β Ara,,Ara,17.421665,-55.529884,335.36719933872365,-11.012873152019536,-8.23,-24.71,-0.4,198.0198,2.84,,,1.479,K3Ib-II,2498.04351871415,-16.904234,-110.792345,-163.251778,-4.83e-06,2.075e-05,-1.309e-05,84999,,0,0
145,158427,6510,85792,,α Ara,Alp Ara/HD 158427/HIP 85792/HR 6510/HYG 85529/MN 145/α Ara,,α Ara,,Ara,17.530695,-49.876145,340.7552116826058,-8.827210290544436,-31.27,-67.15,0.0,81.9672,2.84,2.874,2.794,-0.136,B2Vne,427.7598314820376,-6.473763,-52.424912,-62.676478,-9.83e-06,2.177e-05,-1.72e-05,85530,,0,1
146,23630,1165,17702,,Alcyone,25 Tau/25Eta Tau/Alcyone/HD 23630/HIP 17702/HR 1165/HYG 17661/MN 146/η Tau,Alcyone,η Tau,25 Tau,Tau,3.79141,24.105137,166.6682543609817,-23.455215018037915,19.35,-43.11,10.0,123.6094,2.85,,,-0.086,B7III,963.8290236239706,61.664507,94.489136,50.483636,1.16e-06,2.299e-05,-1.94e-05,17661,,0,0
147,60178,2890,0,Gl 278B,α Gem,66 Gem/66Alp Gem/Gl 278B/HD 60178/HR 2890/HYG 118480/MN 147/α Gem,,α Gem,66 Gem,Gem,7.576827,31.89052,187.43957937270864,22.482349003690487,-162.69,-98.14,-1.2,15.8053,2.85,,,0.0,A m,15.761589049638374,-5.383676,12.292323,8.349873,1.024e-05,7.69e-06,-7.03e-06,36744,Gl 278,1,0
148,113226,4932,63608,,Vindemiatrix,47 Vir/47Eps Vir/HD 113226/HIP 63608/HR 4932/HYG 63404/MN 148/Vindemiatrix/ε Vir,Vindemiatrix,ε Vir,47 Vir,Vir,13.036278,10.95915,312.3250558223395,73.63473841695392,-275.05,19.96,-14.0,33.6022,2.85,,,0.934,G8IIIvar,71.25248247522671,-31.782664,-8.840495,6.38806,2.13e-06,4.71e-05,4.7e-07,63405,,0,0
149,207098,8322,107556,Gl 837,Deneb Algedi,49 Cap/49Del Cap/Deneb Algedi/Gl 837/HD 207098/HIP 107556/HR 8322/HYG 107212/MN 149/δ Cap,Deneb Algedi,δ Cap,49 Cap,Cap,21.784011,-16.127286,37.600605237644054,-46.013284737778555,263.26,-296.23,-6.3,11.8666,2.85,2.93,2.82,0.18,A5mF2 (IV),8.8879171988482,9.534405,-6.248606,-3.296196,-8.3e-07,1.865e-05,-1.458e-05,107213,,0,1
150,12311,591,9236,Gl 83,α Hyi,Alp Hyi/Gl 83/HD 12311/HIP 9236/HR 591/HYG 9217/MN 150/α Hyi,,α Hyi,,Hyi,1.979451,-61.569859,289.44627433808773,-53.76018611728944,262.54,26.88,15.2,22.0119,2.86,,,0.29,F0V,30.283076942657782,9.103629,5.191033,-19.357346,-5.26e-06,2.925e-05,-1.231e-05,9217,,0,0
151,186882,7528,97165,,Fawaris,18 Cyg/18Del Cyg/Fawaris/HD 186882/HIP 97165/HR 7528/HYG 96857/MN 151/δ Cyg,Fawaris,δ Cyg,18 Cyg,Cyg,19.749574,45.13081,78.70953890481226,10.243053487599813,43.22,48.44,-20.0,50.5817,2.86,,,-0.002,B9.5III,159.95580286146696,15.779435,-32.006459,35.8481,-6e-07,2.518e-05,-6.12e-06,96858,,0,0
152,44478,2286,30343,,Tejat,13 Gem/13Mu Gem/HD 44478/HIP 30343/HR 2286/HYG 30270/MN 152/Tejat/μ Gem,Tejat,μ Gem,13 Gem,Gem,6.382673,22.513586,189.72657563513343,4.169140499415177,56.84,-108.79,55.0,71.0227,2.87,2.946,2.826,1.621,M3IIIvar,312.46400858061116,-6.562116,65.281443,27.194957,-2.61e-05,6.402e-05,-1.306e-05,30270,,0,1
153,135382,5671,74946,,γ TrA,Gam TrA/HD 135382/HIP 74946/HR 5671/HYG 74716/MN 153/γ TrA,,γ TrA,,TrA,15.315181,-68.679545,315.7118813527242,-9.549702383299298,-66.48,-32.0,-3.0,56.3698,2.87,,,0.014,A1V,196.7886289706845,-13.248562,-15.637336,-52.51191,-7.87e-06,1.881e-05,-3.2e-07,74717,,0,0
154,211416,8502,110130,,α Tuc,Alp Tuc/HD 211416/HIP 110130/HR 8502/HYG 109783/MN 154/α Tuc,,α Tuc,,Tuc,22.308371,-60.259587,330.2213196349934,-47.96317670931974,-71.48,-38.15,42.0,61.237,2.87,,,1.39,K3III,232.2736796357105,27.447381,-13.018072,-53.171301,1.27e-06,-2.409e-05,-4.291e-05,109784,,0,0
155,18622,897,13847,,Acamar,Acamar/HD 18622/HIP 13847/HR 897/HYG 13813/MN 155/The1Eri/θ1 Eri,Acamar,θ1 Eri,,Eri,2.971023,-40.304672,247.855612504226,-60.73627973778946,-53.53,25.71,12.0,49.4315,2.88,,,0.128,A4III+...,149.96848355023724,26.85749,26.453029,-31.974932,1.851e-05,2.3e-07,-3.24e-06,13813,,0,0
156,178524,7264,94141,,Albaldah,41 Sgr/41Pi Sgr/Albaldah/HD 178524/HIP 94141/HR 7264/HYG 93845/MN 156/π Sgr,Albaldah,π Sgr,41 Sgr,Sgr,19.162731,-21.023615,15.885730969598898,-13.293694321959473,-1.17,-36.83,-10.0,156.25,2.88,,,0.377,F2II/III,1498.30421062266,43.714239,-139.143552,-56.055078,-6.71e-06,1.839e-05,-2.237e-05,93846,,0,0
157,58715,2845,36188,,Gomeisa,3 CMi/3Bet CMi/Gomeisa/HD 58715/HIP 36188/HR 2845/HYG 36087/MN 157/β CMi,Gomeisa,β CMi,3 CMi,CMi,7.452512,8.289315,209.519935780582,11.678516034253969,-50.28,-38.45,22.0,49.5786,2.89,2.896,2.876,-0.097,B8Vvar,149.41699574067007,-18.209817,45.556204,7.147858,2.46e-06,2.64e-05,-5.9e-06,36087,,0,1
158,112413,4915,63125,,Cor Caroli,12 CVn/12Alp2CVn/Cor Caroli/HD 112413/HIP 63125/HR 4915/HYG 62924/MN 158/α2 CVn,Cor Caroli,α2 CVn,12 CVn,CVn,12.933807,38.31838,118.30435166560488,78.7685946184728,-233.43,54.98,-3.0,35.1989,2.89,2.943,2.863,-0.115,A0spe...,75.37025766884257,-26.795114,-6.684223,21.824384,-1.66e-06,4.064e-05,5.46e-06,62925,,0,1
159,143018,5944,78265,,Fang,6 Sco/6Pi Sco/Fang/HD 143018/HIP 78265/HR 5944/HYG 78028/MN 159/π Sco,Fang,π Sco,6 Sco,Sco,15.980865,-26.114105,347.21478052424186,20.230461362189743,-12.0,-25.71,-3.0,179.5332,2.89,2.913,2.873,-0.18,B1V + B2V,1960.6496672266012,-81.301517,-139.203202,-79.023364,-2.66e-06,1.615e-05,-1.874e-05,78029,,0,1
160,24760,1220,18532,,ε Per,45 Per/45Eps Per/HD 24760/HIP 18532/HR 1220/HYG 18485/MN 160/ε Per,,ε Per,45 Per,Per,3.96423,40.010215,157.35378892231407,-10.088463776427272,12.61,-24.06,1.0,195.6947,2.9,2.916,2.886,-0.199,B0.5V,2307.809729698403,76.156467,129.09969,125.816858,-2.45e-06,1.939e-05,-1.682e-05,18485,,0,1
161,147165,6084,80112,,Alniyat,20 Sco/20Sig Sco/Alniyat/HD 147165/HIP 80112/HR 6084/HYG 79869/MN 161/σ Sco,Alniyat,σ Sco,20 Sco,Sco,16.353143,-25.592796,351.31299972144427,16.998923398039327,-10.03,-18.03,3.0,213.6752,2.9,2.928,2.868,0.299,B1III,2751.693132808793,-80.536239,-175.075401,-92.301792,-7.22e-06,9.16e-06,-1.817e-05,79870,,0,1
162,204867,8232,106278,,Sadalsuud,22 Aqr/22Bet Aqr/HD 204867/HIP 106278/HR 8232/HYG 105935/MN 162/Sadalsuud/β Aqr,Sadalsuud,β Aqr,22 Aqr,Aqr,21.525982,-5.571172,48.02286217479946,-37.87908553369489,22.79,-6.7,7.0,164.7446,2.9,,,0.828,G0Ib,1635.3096517445822,130.759282,-98.929336,-15.993766,1.625e-05,1.053e-05,-6.02e-06,105936,,0,0
163,18925,915,14328,,γ Per,23 Per/23Gam Per/HD 18925/HIP 14328/HR 915/HYG 14292/MN 163/γ Per,,γ Per,23 Per,Per,3.079942,53.50644,142.06747814132402,-4.336812434027058,0.5,-4.19,3.0,74.5712,2.91,2.922,2.902,0.716,G8III+...,332.04733579750683,30.696986,32.009546,59.949578,1.98e-06,2.32e-06,1.57e-06,14292,,0,1
164,85123,3890,48002,,υ Car,HD 85123/HIP 48002/HR 3890/HYG 47866/MN 164/Ups Car/υ Car,,υ Car,,Car,9.785036,-65.072007,285.0384579139162,-8.819663653768757,-11.55,4.97,14.0,440.5286,2.92,,,0.273,A9,11481.536214968815,-155.321542,101.734428,-399.488275,4.1e-07,2.921e-05,-8.51e-06,47866,,0,0
165,215182,8650,112158,,Matar,44 Peg/44Eta Peg/HD 215182/HIP 112158/HR 8650/HYG 111803/MN 165/Matar/η Peg,Matar,η Peg,44 Peg,Peg,22.716704,30.221245,92.49577638916898,-24.953461515099328,13.11,-26.11,4.0,65.703,2.93,,,0.852,G2II-III..,253.04630494613968,53.59916,-18.717064,33.070991,8.67e-06,1.4e-06,-5.13e-06,111804,,0,0
166,50310,2553,32768,,τ Pup,HD 50310/HIP 32768/HR 2553/HYG 32682/MN 166/Tau Pup/τ Pup,,τ Pup,,Pup,6.832266,-50.61456,260.16322165112587,-20.862620742557443,34.23,-65.85,36.0,55.8036,2.94,,,1.207,K0III...,180.8006552110008,-7.654383,34.572281,-43.130564,-1.111e-05,7.37e-06,-3.976e-05,32682,,0,0
167,108767,4757,60965,,Algorab,7 Crv/7Del Crv/Algorab/HD 108767/HIP 60965/HR 4757/HYG 60775/MN 167/δ Crv,Algorab,δ Crv,7 Crv,Crv,12.497739,-16.515432,295.47221935039977,46.0436057440091,-209.97,-139.3,9.0,26.6312,2.94,,,-0.012,B9.5V,41.19077848677376,-25.316094,-3.317674,-7.57057,-7.2e-06,2.639e-05,-1.986e-05,60776,,0,0
168,209750,8414,109074,,Sadalmelik,34 Aqr/34Alp Aqr/HD 209750/HIP 109074/HR 8414/HYG 108727/MN 168/Sadalmelik/α Aqr,Sadalmelik,α Aqr,34 Aqr,Aqr,22.096399,-0.319851,59.92875464572813,-42.066013235612395,17.9,-9.93,8.0,160.5136,2.95,,,0.969,G2Ib,1483.200967181874,140.987693,-76.722268,-0.896054,1.381e-05,8.34e-06,-7.77e-06,108728,,0,0
169,25025,1231,18543,,Zaurak,34 Eri/34Gam Eri/HD 25025/HIP 18543/HR 1231/HYG 18497/MN 169/Zaurak/γ Eri,Zaurak,γ Eri,34 Eri,Eri,3.967157,-13.508515,205.16211138550833,-44.472775353468045,60.51,-111.34,62.0,62.3441,2.97,3.0,2.95,1.588,M1IIIb Ca-1,219.5836500973188,30.760217,52.235828,-14.56308,1.154e-05,5.563e-05,-4.753e-05,18497,,0,1
170,37202,1910,26451,,Tianguan,123 Tau/123Zet Tau/HD 37202/HIP 26451/HR 1910/HYG 26386/MN 170/Tianguan/ζ Tau,Tianguan,ζ Tau,123 Tau,Tau,5.627413,21.142549,185.6863799928745,-5.636034938102761,2.39,-18.04,20.0,136.4256,2.97,3.032,2.902,-0.148,B4IIIp,1050.9934271862176,12.391949,126.637551,49.207351,7e-07,2.342e-05,-3.75e-06,26386,,0,1
171,84441,3873,47908,,Ras Elased Australis,17 Leo/17Eps Leo/HD 84441/HIP 47908/HR 3873/HYG 47772/MN 171/Ras Elased Australis/ε Leo,Ras Elased Australis,ε Leo,17 Leo,Leo,9.764188,23.774255,206.81690936749337,48.20444166158887,-46.09,-9.57,4.0,75.643,2.97,,,0.808,G0II,323.2957533680941,-57.700126,38.244772,30.494289,5.04e-06,1.694e-05,-1.56e-06,47772,,0,0
172,165135,6746,88635,,Alnasl,10 Sgr/10Gam2Sgr/Alnasl/HD 165135/HIP 88635/HR 6746/HYG 88360/MN 172/γ2 Sgr,Alnasl,γ2 Sgr,10 Sgr,Sgr,18.096803,-30.424091,0.9185935708403437,-4.538060679716578,-55.75,-181.53,22.0,29.7,2.98,,,0.981,K0III,49.38556196176077,0.648969,-25.602281,-15.040072,-7.87e-06,-6.37e-06,-3.393e-05,88361,,0,0
173,115659,5020,64962,,γ Hya,46 Hya/46Gam Hya/HD 115659/HIP 64962/HR 5020/HYG 64757/MN 173/γ Hya,,γ Hya,46 Hya,Hya,13.315359,-23.171512,311.09853496113914,39.264026689506814,68.41,-41.09,-5.0,41.0341,2.99,,,0.92,G8III,93.41142557364785,-35.509172,-12.735386,-16.146279,1.205e-05,-1.014e-05,-5.5e-06,64758,,0,0
174,161471,6615,87073,,ι1 Sco,HD 161471/HIP 87073/HR 6615/HYG 86803/Iot1Sco/MN 174/ι1 Sco,,ι1 Sco,,Sco,17.793078,-40.126997,350.6084383690339,-6.1263752410839825,0.44,-6.4,-28.0,591.716,2.99,,,0.509,F3Ia,19426.743230314907,-24.497404,-451.772701,-381.351324,3.09e-06,3.361e-05,4.42e-06,86804,,0,0
175,177724,7235,93747,GJ 4095A,Okab,17 Aql/17Zet Aql/GJ 4095A/HD 177724/HIP 93747/HR 7235/HYG 93451/MN 175/Okab/ζ Aql,Okab,ζ Aql,17 Aql,Aql,19.090169,13.863478,46.85434880502157,3.2454042192027117,-7.04,-95.31,-25.0,25.4582,2.99,,,0.014,A0Vn,35.94181463147148,6.95881,-23.716532,6.099966,-7.03e-06,2.087e-05,-1.755e-05,93452,GJ 4095,1,0
176,13161,622,10064,,β Tri,4 Tri/4Bet Tri/HD 13161/HIP 10064/HR 622/HYG 10041/MN 176/β Tri,,β Tri,4 Tri,Tri,2.159058,34.987297,140.54792208757652,-25.19845440602572,148.78,-39.13,10.0,38.8954,3.0,,,0.14,A5III,83.0998041044432,26.909766,17.068198,22.302471,-4.38e-06,3.044e-05,-1.8e-07,10041,,0,0
177,96833,4335,54539,,ψ UMa,52 UMa/52Psi UMa/HD 96833/HIP 54539/HR 4335/HYG 54380/MN 177/ψ UMa,,ψ UMa,52 UMa,UMa,11.161062,44.498487,165.80368304810884,63.23048578985958,-62.35,-27.38,-4.0,44.3066,3.0,,,1.144,K1III,107.84499632938316,-30.843315,6.88533,31.054046,1.74e-06,1.333e-05,-7.06e-06,54380,,0,0
